"Date","Location","Jumlah_Kasus_Baru_per_Hari","Jumlah_Kasus_Sembuh_per_Hari","Jumlah_Kasus_Dirawat_per_Hari","Jumlah_Kasus_Meninggal_per_Hari","Jumlah_Kasus_Kumulatif","Jumlah_Pasien_Sembuh","Jumlah_pasien_dalam_perawatan","Jumlah_Pasien_Meninggal","Persentase_Pasien_Sembuh","Persentase_Pasien_Meninggal","Persentase_Pasien_dalam_Perawatan","Jumlah_Spesimen_Diperiksa","Jumlah_Kasus_Diperiksa_Spesimen","Jumlah_Negatif","PDP","ODP"
"2020-03-02","National",2,0,2,0,2,0,2,0,0,0,0,,339,335,,
"2020-03-03","National",0,0,0,0,2,0,2,0,0,0,0,,341,337,,
"2020-03-04","National",0,0,0,0,2,0,2,0,0,0,0,,372,356,,
"2020-03-05","National",0,0,0,0,2,0,2,0,0,0,0,,388,371,,
"2020-03-06","National",2,0,2,0,4,0,4,0,0,0,0,,450,422,,
"2020-03-07","National",0,0,0,0,4,0,4,0,0,0,0,,454,422,,
"2020-03-08","National",2,0,2,0,6,0,6,0,0,0,0,,483,445,,
"2020-03-09","National",13,0,13,0,19,0,19,0,0,0,0,,543,487,,
"2020-03-10","National",8,2,6,0,27,2,25,0,7.407407407,0,0,,694,648,,
"2020-03-11","National",7,0,6,1,34,2,31,1,5.882352941,2.941176471,2.941176471,,793,744,,
"2020-03-12","National",0,0,0,0,34,2,31,1,5.882352941,2.941176471,2.941176471,,862,811,,
"2020-03-13","National",35,0,32,3,69,2,63,4,2.898550725,5.797101449,5.797101449,,1005,917,,
"2020-03-14","National",27,6,20,1,96,8,83,5,8.333333333,5.208333333,5.208333333,,1205,1109,,
"2020-03-15","National",21,0,21,0,117,8,104,5,6.837606838,4.273504274,4.273504274,,1293,1167,,
"2020-03-16","National",17,0,17,0,134,8,121,5,5.970149254,3.731343284,3.731343284,,1230,1083,,
"2020-03-17","National",38,1,37,0,172,9,158,5,5.23255814,2.906976744,2.906976744,,1372,1178,,
"2020-03-18","National",55,2,39,14,227,11,197,19,4.845814978,8.370044053,8.370044053,,1592,1342,,
"2020-03-19","National",82,4,72,6,309,15,269,25,4.854368932,8.090614887,8.090614887,,1898,1570,,
"2020-03-20","National",60,2,51,7,369,17,320,32,4.60704607,8.672086721,8.672086721,,2028,1643,,
"2020-03-21","National",81,3,72,6,450,20,392,38,4.444444444,8.444444444,8.444444444,,2365,1895,,
"2020-03-22","National",64,9,45,10,514,29,437,48,5.642023346,9.338521401,9.338521401,,2438,1904,,
"2020-03-23","National",65,1,63,1,579,30,500,49,5.18134715,8.462867012,8.462867012,,2756,2177,,
"2020-03-24","National",106,0,101,6,686,30,601,55,4.373177843,8.017492711,8.017492711,,3332,2625,,
"2020-03-25","National",105,1,100,3,790,31,701,58,3.924050633,7.341772152,7.341772152,,3822,3032,,
"2020-03-26","National",103,4,79,20,893,35,780,78,3.9193729,8.734602464,8.734602464,,4336,3443,,
"2020-03-27","National",153,11,133,9,1046,46,913,87,4.397705545,8.317399618,8.317399618,,5775,4729,,
"2020-03-28","National",109,13,81,15,1155,59,994,102,5.108225108,8.831168831,8.831168831,,6266,5111,,
"2020-03-29","National",130,5,113,12,1285,64,1107,114,4.980544747,8.871595331,8.871595331,,6534,5249,,
"2020-03-30","National",129,11,110,8,1414,75,1217,122,5.304101839,8.628005658,8.628005658,,6663,5249,,
"2020-03-31","National",114,6,94,14,1528,81,1311,136,5.30104712,8.90052356,8.90052356,,6777,5249,,
"2020-04-01","National",149,22,106,21,1677,103,1417,157,6.141920095,9.361955874,9.361955874,,7193,5516,,
"2020-04-02","National",113,9,91,13,1790,112,1508,170,6.25698324,9.497206704,9.497206704,,7425,5635,,
"2020-04-03","National",196,22,163,11,1986,134,1671,181,6.747230614,9.113796576,9.113796576,,7986,5715,,
"2020-04-04","National",106,16,80,10,2092,150,1751,191,7.170172084,9.13001912,9.13001912,,9712,7620,,
"2020-04-05","National",181,14,160,7,2273,164,1911,198,7.215134184,8.710954685,8.710954685,,11242,8969,,
"2020-04-06","National",218,28,179,11,2491,192,2090,209,7.707747892,8.390204737,8.390204737,,13186,10695,,
